地标经度,地标纬度,对应的LR的半径,LRBG,SLG
118.760517,32.05088,4.29,1.1421,1.4853
118.7623908,32.07439613,1.54,0.6163,2.2413
118.721028,32.111661,4.87,1.5162,7.7542
118.789967,31.978343,1.9,2.4004,7.0681
118.7897457,32.05407902,1.97,1.0618,0.9659
118.865801,31.7786115,8.87,1.8928,27.8445
118.778215,32.028723,1.37,0.4571,2.7119
118.827011,31.96112838,5.05,3.5244,9.2252
118.856286,31.971201,4.92,2.6948,9.1024
118.7778353,32.06774244,1.11,0.8011,1.2566
118.841054,32.137763,9.58,11.2737,8.3375
118.623014,31.84888,8.52,1.725,25.6342
118.9823768,32.12248992,5.89,6.4834,9.3516
118.773361,32.084626,1.88,0.8478,2.9052
118.7638196,31.97735913,11.85,2.9642,7.8887
118.806329,32.119868,4.66,1.7329,6.6541
118.817812,31.910122,4,1.3114,13.9931
118.778952,32.116783,2.71,1.7772,6.1338
118.801935,32.099592,2.21,2.7647,4.8401
118.856845,31.796824,8.57,2.4235,25.863
118.718402,31.9688,6.05,7.1145,10.3404
118.94932,32.116157,3.67,4.2761,6.2151
118.76152,32.101644,2.38,1.1136,4.7866
118.8084955,32.12459211,4.33,1.175,7.0774
118.868293,31.885075,3.44,4.939,17.639
118.883696,32.10092208,5.67,3.8063,2.7525
118.809387,32.123703,3.89,1.1548,6.9752
118.8169646,32.12433652,4.8,0.9345,6.9606
118.8115391,32.10905411,2.18,3.5827,5.4947
118.7482502,32.08173041,2.19,3.4602,3.7109
118.607672,31.875126,8.49,2.457,24.5837
118.835336,31.82194,8.23,4.4125,22.9763
118.735668,32.08085,1.86,1.1352,4.6403
118.822526,31.909456,10.24,5.9239,14.1341
118.843617,31.954713,10.25,0.9442,10.2777
118.77418,32.044029,1.6,0.7777,1.1579
118.7491378,32.23915102,2.99,0.1578,18.5309
118.791963,32.047767,1.97,1.6261,0.5797
118.844403,31.809939,8.36,3.1646,24.3188
118.751976,32.011987,1.73,0.971,4.9132
118.812886,31.932027,4.29,2.3707,11.7558
118.7627182,32.05802998,1.11,1.0028,1.2128
118.8101814,32.11660337,4.66,1.8099,6.2616
118.8688406,31.95456405,1.99,14.1338,11.138
118.722485,31.950808,4.01,4.5939,11.7036
118.8077155,31.94441077,4.11,0.7573,10.467
118.816112,32.131973,3.89,0.0913,7.7277
118.8107914,31.79208108,8.57,3.3253,25.6853
118.771011,32.069782,1.13,0.5682,1.4629
118.85573,31.95145,4.92,0.7814,10.9264
118.813915,31.868387,11.02,1.1446,18.0941
118.806795,32.08128,2.95,1.017,2.9716
118.761144,32.075099,1.55,0.5926,2.3691
118.821513,32.055739,1.28,1.1802,0.1528
118.73915,32.024507,1.57,0.8679,4.7154
118.6994414,32.16807602,4.93,5.2156,13.5276
118.813191,32.123592,2.05,1.2132,6.9148
118.849939,31.949485,10.24,1.2942,10.9416
118.8302405,31.91097713,5.05,4.4678,14.1418
118.74838,32.016343,8.34,12.7594,4.7208
118.85077,31.9529925,10.25,0.9555,10.6279
118.7511488,32.06106939,1.55,1.1363,2.4081
118.645953,31.848683,8.17,4.023,24.3649
118.828063,32.118614,7.61,4.6073,6.4275
118.7788252,32.04860436,1.86,5.4509,0.8173
118.8983675,31.9195555,5.05,4.7203,15.6168
118.815376,32.027911,1.68,0.8216,2.7212
118.576448,31.830889,8.49,3.5689,29.9598
118.7943629,32.10432885,2.38,2.1875,5.2584
118.861433,31.687065,8.79,9.1692,36.711
118.7670611,32.076355,1.88,0.4401,2.2082
